"","periodo","aguas","relaves","area_agua","area_relaves","area_agua_hec","area_relaves_hec"
"1","R105_A2014_Q1",31,49330,27900,44397000,2.79,4439.7
"2","R105_A2014_Q2",1467,49862,1320300,44875800,132.03,4487.58
"3","R105_A2014_Q3",1775,49688,1597500,44719200,159.75,4471.92
"4","R105_A2014_Q4",633,47817,569700,43035300,56.97,4303.53
"5","R105_A2015_Q1",638,49930,574200,44937000,57.42,4493.7
"6","R105_A2015_Q2",7816,50339,7034400,45305100,703.44,4530.51
"7","R105_A2015_Q3",5728,47580,5155200,42822000,515.52,4282.2
"8","R105_A2015_Q4",653,48657,587700,43791300,58.77,4379.13
"9","R105_A2016_Q1",447,49680,402300,44712000,40.23,4471.2
"10","R105_A2016_Q2",4341,52065,3906900,46858500,390.69,4685.85
"11","R105_A2016_Q3",3701,50700,3330900,45630000,333.09,4563
"12","R105_A2016_Q4",690,49122,621000,44209800,62.1,4420.98
"13","R105_A2017_Q1",827,50900,744300,45810000,74.43,4581
"14","R105_A2017_Q2",3309,51746,2978100,46571400,297.81,4657.14
"15","R105_A2017_Q3",3474,47826,3126600,43043400,312.66,4304.34
"16","R105_A2017_Q4",884,51901,795600,46710900,79.56,4671.09
"17","R105_A2018_Q1",676,52029,608400,46826100,60.84,4682.61
"18","R105_A2018_Q2",3988,53256,3589200,47930400,358.92,4793.04
"19","R105_A2018_Q3",3214,52598,2892600,47338200,289.26,4733.82
"20","R105_A2018_Q4",835,51081,751500,45972900,75.15,4597.29
"21","R105_A2019_Q1",819,51626,737100,46463400,73.71,4646.34
"22","R105_A2019_Q2",4933,53076,4439700,47768400,443.97,4776.84
"23","R105_A2019_Q3",4251,29684,3825900,26715600,382.59,2671.56
"24","R105_A2019_Q4",1229,51888,1106100,46699200,110.61,4669.92
"25","R105_A2020_Q1",1084,51404,975600,46263600,97.56,4626.36
"26","R105_A2020_Q2",3018,49688,2716200,44719200,271.62,4471.92
"27","R105_A2020_Q3",6032,23454,5428800,21108600,542.88,2110.86
"28","R105_A2020_Q4",809,52333,728100,47099700,72.81,4709.97
"29","R105_A2021_Q1",506,54163,455400,48746700,45.54,4874.67
"30","R105_A2021_Q2",1601,55990,1440900,50391000,144.09,5039.1
"31","R105_A2021_Q3",4302,44496,3871800,40046400,387.18,4004.64
"32","R105_A2021_Q4",754,54770,678600,49293000,67.86,4929.3
